producto_id,fecha_snapshot,stock_actual
PROD001,2024-12-13,127
PROD001,2025-06-16,44
PROD001,26 - May - 2025,116
PROD001,2024-04-18,53
PROD001,2024-03-29,120
PROD001,2025-07-14,130
PROD001,2024-04-21,89
PROD001,2024-03-17,126
PROD001,2024-07-28,98
PROD001,2025-11-24,59
PROD001,2024-08-27,126
PROD001,2025-04-04,107
PROD001,2024-09-21,143
PROD001,01 - January - 2024,103
PROD001,20250527,77
PROD001,2024-07-19,84
PROD001,2025-12-06,93
PROD001,2024-03-26,108
PROD001,2024-09-22,130
PROD001,2025-12-06,107
PROD001,2025-07-02,68
PROD001,24 - February - 2024,108
PROD001,20250311,135
PROD001,2024-08-23,104
PROD001,2024-01-29,113
PROD001,2025-08-03,97
PROD001,2024-01-25,97
PROD001,2024-09-23,131
PROD001,2024-09-10,123
PROD001,2025-04-24,172
PROD001,2025-02-22,86
PROD001,2025-09-05,80
PROD001,29 - April - 2025,60
PROD001,2024-01-06,93
PROD001,15 - August - 2024,99
PROD001,2025-08-22,79
PROD001,2024-07-27,-114
PROD001,2024-04-01,123
PROD001,2025-04-15,112
PROD001,20240414,71
PROD001,2024-10-13,81
PROD001,2024-04-21,102
PROD001,21 - August - 2024,134
PROD001,2024-05-16,96
PROD001,10 - September - 2024,43
PROD001,2025-04-01,93
PROD001,2024-07-06,100
PROD001,2024-03-04,146
PROD001,2025-04-02,-43
PROD001,2024-01-09,124
PROD001,2024-05-26,61
PROD001,2025-02-25,87
PROD001,2025-06-03,111
PROD001,2025-05-17,128
PROD001,2025-03-20,81
PROD001,20 - December - 2024,88
PROD001,2024-03-11,96
PROD001,2025-11-30,47
PROD001,04 - December - 2025,80
PROD001,2025-09-23,143
PROD001,2025-10-01,107
PROD001,2024-05-27,121
PROD001,2024-03-07,96
PROD001,2024-01-17,43
PROD001,2025-10-24,96
PROD001,29 - April - 2025,131
PROD001,2024-06-24,48
PROD001,2025-11-25,100
PROD001,2024-02-14,116
PROD001,2024-12-16,90
PROD001,2025-03-14,82
PROD001,2024-01-13,106
PROD001,15 - November - 2025,77
PROD001,2025-05-12,56
PROD001,20240621,90
PROD001,2025-09-17,151
PROD001,2024-07-22,115
PROD001,2024-08-26,86
PROD001,2024-10-27,116
PROD001,2024-11-18,135
PROD001,2024-07-01,79
PROD001,2025-11-08,116
PROD001,20240419,90
PROD001,2024-05-15,139
PROD001,2024-10-20,85
PROD001,2024-06-23,89
PROD001,2025-09-25,113
PROD001,2024-03-19,76
PROD001,20240914,74
PROD001,2024-08-16,138
PROD001,2024-03-25,131
PROD001,20250218,122
PROD001,2025-06-17,81
PROD001,2024-10-06,161
PROD001,2025-11-18,101
PROD001,2024-05-24,105
PROD001,2024-11-22,148
PROD001,2025-05-02,99
PROD001,2025-01-10,79
PROD001,2025-04-24,119
PROD001,24 - March - 2024,106
PROD001,2024-09-21,123
PROD001,2025-07-29,142
PROD001,2024-12-21,144
PROD001,2024-01-06,85
PROD001,2025-04-28,90
PROD001,2024-06-30,38
PROD001,20240414,79
PROD001,2025-11-30,98
PROD001,2025-07-18,138
PROD001,2024-04-20,97
PROD001,2025-09-27,128
PROD001,20250502,83
PROD001,2024-04-09,69
PROD001,2025-07-18,100
PROD001,20250423,109
PROD001,2025-06-28,79
PROD001,2024-10-27,65
PROD001,10 - March - 2025,86
PROD001,20241209,119
PROD001,2025-07-02,100
PROD001,2024-04-15,73
PROD001,2025-01-28,77
PROD001,2025-09-12,122
PROD001,2024-09-01,95
PROD001,2025-10-01,58
PROD001,2024-02-20,135
PROD001,18 - September - 2024,60
PROD001,2024-02-21,130
PROD001,20251207,84
PROD001,2024-01-30,72
PROD001,2025-05-11,104
PROD001,2024-01-06,93
PROD001,2025-11-30,85
PROD001,2025-12-20,106
PROD001,2025-02-12,63
PROD001,26 - November - 2024,103
PROD001,12 - July - 2025,105
PROD001,2024-07-15,83
PROD001,2024-08-06,16
PROD001,2024-03-10,94
