venta_id,producto_id,fecha_venta,cantidad,cliente_id
VTA00001,PROD001,2024-09-30,3,CL011
VTA00002,PROD001,01 - December - 2024,1,CL002
VTA00003,PROD001,20250611,1,CL001
VTA00004,PROD001,2024-08-10,2,CL010
VTA00005,PROD001,04 - February - 2024,2,CL012
VTA00006,PROD001,2025-01-10,1,CL009
VTA00007,PROD001,2024-02-17,4,CL015
VTA00008,PROD001,2025-05-13,2,CL018
VTA00009,PROD001,2025-04-28,2,CL018
VTA00010,PROD001,2025-07-19,4,CL008
VTA00011,PROD001,2025-09-08,5,CL013
VTA00012,PROD001,2024-02-24,3,CL017
VTA00013,PROD001,2025-06-03,6,CL005
VTA00014,PROD001,20250616,3,CL001
VTA00015,PROD001,2025-06-10,1,CL015
VTA00016,PROD001,2024-11-08,0,CL007
VTA00017,PROD001,2024-12-13,2,CL015
VTA00018,PROD001,2025-07-05,1,CL002
VTA00019,PROD001,2025-03-31,1,CL012
VTA00020,PROD001,2024-05-16,4,CL020
VTA00021,PROD001,2024-09-14,1,CL005
VTA00022,PROD001,2025-05-20,1,CL009
VTA00023,PROD001,2024-10-21,0,CL012
VTA00024,PROD001,2024-07-02,2,CL017
VTA00025,PROD001,2025-12-13,1,CL001
VTA00026,PROD001,2024-06-23,1,CL004
VTA00027,PROD001,20240229,1,CL005
VTA00028,PROD001,2025-04-06,2,CL006
VTA00029,PROD001,2025-05-22,2,CL019
VTA00030,PROD001,2024-09-11,0,CL008
VTA00031,PROD001,2024-10-09,1,CL018
VTA00032,PROD001,20251106,3,CL017
VTA00033,PROD001,2024-06-25,0,CL005
VTA00034,PROD001,2025-10-06,1,CL016
VTA00035,PROD001,20251016,3,CL006
VTA00036,PROD001,20250503,4,CL002
VTA00037,PROD001,2025-05-20,2,CL016
VTA00038,PROD001,2025-06-28,4,CL014
VTA00039,PROD001,2025-03-06,4,CL015
VTA00040,PROD001,2024-12-25,2,CL017
VTA00041,PROD001,2024-02-01,2,CL009
VTA00042,PROD001,2025-11-26,2,CL020
VTA00043,PROD001,2024-08-02,2,CL010
VTA00044,PROD001,2025-11-14,2,CL002
VTA00045,PROD001,2024-07-04,1,CL009
VTA00046,PROD001,2025-05-27,1,CL003
VTA00047,PROD001,2024-07-06,-1,CL004
VTA00048,PROD001,20250805,4,CL002
VTA00049,PROD001,2024-11-16,2,CL017
VTA00050,PROD001,2024-01-28,2,CL012
VTA00051,PROD001,2025-12-05,2,CL003
VTA00052,PROD001,20250410,3,CL019
VTA00053,PROD001,2024-11-16,0,CL009
